kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,is_candidate
11601425,K05917.01,,CANDIDATE,CANDIDATE,0.799,0,0,0,0,41.9934673,0.0004972,-0.0004972,143.89297,0.00916,-0.00916,0.046,0.419,-0.046,3.226,0.378,-0.378,293.7,38.0,-38.0,1.56,0.46,-0.16,503.0,,,15.19,13.3,-4.28,9.4,1.0,q1_q17_dr25_tce,5766.0,156.0,-173.0,4.498,0.05,-0.2,0.915,0.273,-0.091,286.3562,49.690128,14.847,1
5602588,K02369.03,,CANDIDATE,CANDIDATE,0.968,0,0,0,0,7.2274321,0.0001478,-0.0001478,134.4726,0.0177,-0.0177,0.003,0.439,-0.003,4.967,0.41,-0.41,173.3,20.8,-20.8,1.28,0.39,-0.14,967.0,,,206.77,188.74,-62.3,9.2,2.0,q1_q17_dr25_tce,6075.0,168.0,-210.0,4.486,0.052,-0.208,0.969,0.3,-0.1,285.72079,40.85696,15.832,1
8510197,K05530.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,591.37382,0.01092,-0.01092,333.48076,0.00875,-0.00875,0.1609,0.2834,-0.1603,4.35,1.4,-1.4,245.0,39.1,-39.1,2.2,0.98,-0.47,289.0,,,1.65,2.14,-0.76,10.7,1.0,q1_q16_tce,6609.0,163.0,-211.0,4.183,0.182,-0.248,1.391,0.615,-0.299,296.94693,44.553761,12.913,0
1025986,K07621.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,275.07365,0.03928,-0.03928,315.2486,0.0939,-0.0939,0.595,0.34,-0.395,3.37,5.5,-5.5,228.9,43.0,-43.0,1.86,0.33,-0.36,303.0,,,2.0,0.92,-0.76,7.5,1.0,q1_q17_dr25_tce,5604.0,84.0,-67.0,4.226,0.208,-0.112,1.187,0.207,-0.23,291.03369,36.771042,10.15,1
6677841,K01236.04,Kepler-279 e,CONFIRMED,CANDIDATE,0.94,0,0,0,0,98.353149,0.001793,-0.001793,217.883,0.0139,-0.0139,0.906,0.029,-0.623,24.708,0.658,-0.658,423.0,14.4,-14.4,4.13,0.69,-0.92,552.0,,,21.96,10.24,-9.67,30.5,3.0,q1_q17_dr25_tce,6366.0,116.0,-116.0,4.045,0.196,-0.098,1.697,0.285,-0.38,287.3912,42.194832,13.659,1
11623629,K00365.02,,CANDIDATE,CANDIDATE,,0,0,0,0,117.761,0.002247,-0.002247,175.5599,0.0163,-0.0163,0.2505,0.2007,-0.2504,3.454,0.399,-0.399,53.9,8.2,-8.2,0.62,0.1,-0.03,337.0,,,3.06,1.4,-0.52,7.1,2.0,q1_q16_tce,5564.0,109.0,-104.0,4.522,0.033,-0.127,0.85,0.138,-0.045,297.48691,49.623451,11.195,1
6041734,K02167.02,,CANDIDATE,CANDIDATE,,0,0,0,0,6.95787,0.0003496,-0.0003496,359.007,0.0202,-0.0202,0.1686,0.3303,-0.1682,4.537,0.923,-0.923,182.3,85.4,-85.4,1.39,0.55,-0.17,1047.0,,,284.4,339.61,-95.6,1.8,,,6240.0,192.0,-229.0,4.406,0.083,-0.271,1.025,0.404,-0.125,291.60449,41.309361,15.28,1
9589524,K00468.01,Kepler-563 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,22.18431824,2.569e-05,-2.569e-05,174.597325,0.000907,-0.000907,0.032,0.348,-0.032,3.0397,0.0322,-0.0322,1593.0,21.2,-21.2,3.18,0.34,-0.37,546.0,,,21.06,7.86,-6.51,87.6,1.0,q1_q17_dr25_tce,5157.0,153.0,-153.0,4.5,0.093,-0.076,0.818,0.086,-0.096,292.44626,46.289768,14.767,1
5876368,K01049.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.525426427,4.26e-07,-4.26e-07,133.187901,0.000655,-0.000655,0.113,0.357,-0.113,1.0801,0.0258,-0.0258,324.6,6.6,-6.6,1.45,0.33,-0.13,2069.0,,,4349.62,2913.03,-1157.64,63.6,1.0,q1_q17_dr25_tce,5791.0,155.0,-173.0,4.575,0.038,-0.152,0.802,0.181,-0.072,291.82181,41.11269,14.797,0
6290382,K03869.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,6.12810722,3.127e-05,-3.127e-05,137.03456,0.0041,-0.0041,1.159,69.84,-0.168,2.824,0.206,-0.206,2336.0,161.0,-161.0,39.52,13.16,-8.08,1513.0,,,1237.9,1251.7,-587.89,17.5,1.0,q1_q17_dr25_tce,7245.0,228.0,-330.0,4.158,0.132,-0.198,1.667,0.555,-0.341,293.5192,41.671791,13.186,0
